HTC,1 000   ₽,Авиамоторная,https://www.avito.ru/moskva/telefony/htc_1807660910
Htc,5 900   ₽, ,https://www.avito.ru/moskva_zelenograd/telefony/htc_1758457661
Смартфон на android HTC Wildfire s,1 700   ₽,Парк Победы,https://www.avito.ru/moskva/telefony/smartfon_na_android_htc_wildfire_s_1449146137
HTC Sensation,1 500   ₽,Октябрьское поле,https://www.avito.ru/moskva/telefony/htc_sensation_1764553994
Корпус HTC Desire EYE Белый Оригинал,450   ₽,Римская,https://www.avito.ru/moskva/telefony/korpus_htc_desire_eye_belyy_original_835613153
HTC Desire 526G,800   ₽,Орехово,https://www.avito.ru/moskva/telefony/htc_desire_526g_1792757695
HTC Desire 310 Dual Sim,500   ₽,Строгино,https://www.avito.ru/moskva/telefony/htc_desire_310_dual_sim_1790100598
Телефон HTC Desire A8181,500   ₽, ,https://www.avito.ru/moskva_zelenograd/telefony/telefon_htc_desire_a8181_1083385780?slocation=637640
Аккумулятор для HTC One A9,400   ₽,Братиславская,https://www.avito.ru/moskva/telefony/akkumulyator_dlya_htc_one_a9_1097719406
"Шлейф HTC U11 (кнопка ""Home"")",500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/shleyf_htc_u11_knopka_home_903520704
Htc,4 000   ₽,Измайловская,https://www.avito.ru/moskva/telefony/htc_1782082827
HTC Desire 326G Dual Sim Ростест,1 700   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_desire_326g_dual_sim_rostest_1804543491
HTC ONE dual SIM,20 500   ₽,Бульвар Дмитрия Донского,https://www.avito.ru/moskva/telefony/htc_one_dual_sim_686294431
